,title,length,publish_date,author,url
100,Teri Meri Preet Full Video Song | Garhwali Album Khudeni Na Rayee | Vinod Sirola & Anuradha Nirala,389.0,2013-12-30 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=3sOETggjp9k
101,Khudeni Na Rayee Full Video Song HD | Vinod Sirola Latest Garhwali Album Songs,417.0,2013-12-27 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=g9RqwFdJ3x4
102,Pardesh Ma Chho Eeju | Sad Kumaoni Video Song 'Radha Madama' Album | Ramesh Mohan Pandey,377.0,2013-12-17 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=aTwQPvFqX9Q
103,Kabey Ghum Firi Be Auchhi Gadi | Latest Kumaoni Song 'Radha Madama' Album | Ramesh Mohan Pandey,287.0,2013-12-13 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=2143sFH8NaA
104,Teri Gori-Gori Mukhudi | Latest Kumaoni Song 2013 'Radha Madama' Album | Jitendra Tomkyaal,339.0,2013-12-10 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=qo9OATNrJr4
105,"Teri Gori Mukhdi Ma Syali | Latest Kumaoni Song 'Radha Madama' Album | Gajender Rana, Basanti Bisht",325.0,2013-12-09 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=slB_6sRd9cw
106,Chhane Ma Baithe Bera | Latest Kumaoni Song 'Radha Madama' Album | Ramesh Mohan Pandey,266.0,2013-12-02 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=js9noVgzNL8
107,Rum Jhum Barkha Jo Lagige Video Song Kumaoni | Radha Madama Album | Lalit Mohan Joshi Songs 2013,441.0,2013-11-21 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=5SUmmjnqUtY
108,"Maile Baje Muruli Radha - Kumaoni Song 'Radha Madama' Album - Gajender Rana, Basanti Bisht",299.0,2013-11-10 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=osU9exA0gyE
109,Pardesh Ma Chho Eeju - Radha Madama Album - Latest Kumaoni Songs 2013,378.0,2013-11-06 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=2FQOwGf0B0w
110,Radha Madama Album Song - Kabey Ghum Firi Be Auchhi Gadi - Latest Kumaoni Songs 2013,288.0,2013-11-06 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=e0Y4yr_jzho
111,Lalit Mohan Joshi Latest Kumaoni Song | Ghut-Ghut Batuli | Radha Madama Album 2013 Songs,279.0,2013-11-06 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=u9OzbsPJP3k
112,Chhane Ma Baithe Bera Song - Radha Madama - Latest Kumaoni Album Songs 2013,266.0,2013-11-06 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=lAmjrMXkYSM
113,Teri Gori-Gori Mukhudi Kumaoni Song Jitendra Tomkyaal - Radha Madama Album Songs 2013,340.0,2013-11-06 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=VBd5qLIXat0
114,"""Teri Gori Mukhdi Ma Syali"" Kumaoni Song Gajender Rana, Basanti Bisht | Radha Madama Album Songs",326.0,2013-11-06 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=anK5ZFEb9dA
115,Rum Jhum Barkha Jo Lagige Kumaoni Song Lalit Mohan Joshi - Radha Madama Album Songs 2013,442.0,2013-11-06 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=3jTIf-Fzjeo
116,"Maile Baje Muruli Radha Full Song - Radha Madama Kumaoni Album - Gajender Rana, Basanti Bisht",300.0,2013-11-06 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=7wpMYdJ2x7o
117,Kilai Supnyu Ma Akai Ruwey Jandi Tu - Latest Garhwali Album Songs 2013 - Bhaiji Ku Byo,288.0,2013-10-24 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=4uRgWKSgNUQ
118,Pardes Jaike Dagdiya Bhuli Na Jayi - New Garhwali Song Meena Rana - Bhaiji Ku Byo Album,384.0,2013-10-15 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=p1mo6QktOsE
119,Mukhdi Dikhe Ja Jara Nau Tu Bate Ja - Latest Garhwali Video Song 2013 - Bhaiji Ku Byo,328.0,2013-10-09 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=a_VcZbV0aEc
120,Garhwal Ka Log Pardes Basigen - Bhaiji Ku Byo - Latest Garhwali Album Songs 2013,358.0,2013-10-08 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=GNqnpnrD-9Y
121,"""Aege Gindi Myala"" - Latest Garhwali Album Songs 'Bhaiji Ku Byo' - Gajender Rana, Meena Rana",420.0,2013-10-07 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=pWyGqqOwqSE
122,Nadi Kinaru Si Hum Dui Chhawa - Latest Garhwali Video Song 2013 - Bhaiji Ku Byo,493.0,2013-10-06 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=Z6rDhAyVW5A
123,Jai Ho Shem Naag Raaj (Jaagar) - Babruwahan Singh Negi - Bhaiji Ku Byo Garhwali Album 2013,322.0,2013-10-04 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=hotpNj9zqcI
124,"""Bhaiji Ku Byo"" - Gajender Rana Latest Garhwali Video Song 2013",328.0,2013-10-03 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=JvjEM78D9Nw
125,"Naani Naani Seema Full Video Songs Kumaoni - Fauji Lalit Mohan Joshi, Meena Rana",2911.0,2013-08-30 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=3DQXy2YeAa8
126,"Aele Bol Baaki Saatina | Latest Garhwali Video Song 'SAJ' Album | Preetam Bharatwan, Manu Vandana",462.0,2013-08-28 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=K-cA4IIvFX0
127,"Aagi Ki Patangi Jairili Bichhi | Latest Garhwali Sad Video Song | Preetam Bharatwan, Meena Rana",426.0,2013-08-27 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=qmkNB98Z1M8
128,Preetam Bharatwan New Garhwali Song | Mero Himwanti Desa | 'SAJ' Album Songs 2013,462.0,2013-08-26 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=hflkfLXtQ5Y
129,"Latest Garhwali Song SAJ Album - Maino Biti Milunu Nee Hwe - Preetam Bharatwan, Meena Rana",426.0,2013-08-25 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=fnVXuivDTyw
130,Jagar Samrat Preetam Bharatwan Latest Jaagar 2013 - Bali Vasudanta Arjun - SAJ Album,671.0,2013-08-25 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=9P1oxUNfTjc
131,Latest Garhwali Video Song - Le Sounli Bandol Nou Bataide - Preetam Bharatwan 'SAJ' Album 2013,438.0,2013-08-24 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=-O5_hHspB8o
132,Samai Samai Ki Baat | Latest Garhwali Video Song Preetam Bharatwan 'SAJ' Album 2013,514.0,2013-08-24 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=rYjwA1Yrvc8
